ID	direction
NA20905_1	DIR
NA20905_2	DIR
NA21093_1	DIR
NA21093_2	DIR
NA21102_1	DIR
NA21102_2	DIR
NA21106_1	DIR
NA21106_2	DIR
NA21110_1	DIR
NA21110_2	DIR
NA21144_1	DIR
NA21144_2	DIR
NA21309_1	DIR
NA21309_2	DIR
