ID	direction
HG03516_1	DIR
HG03516_2	DIR
HG03521_1	INV
HG03521_2	DIR
HG03540_1	DIR
HG03540_2	INV
HG03579_1	INV
HG03579_2	DIR
HG03583_1	DIR
HG03583_2	DIR
HG03654_1	INV
HG03654_2	INV
HG03669_1	DIR
HG03669_2	INV
HG03688_1	DIR
HG03688_2	INV
HG03704_1	INV
HG03704_2	DIR
HG03710_1	INV
HG03710_2	DIR
HG03742_1	DIR
HG03742_2	INV
HG03784_1	INV
HG03784_2	INV
HG03804_1	INV
HG03804_2	INV
HG03816_1	DIR
HG03816_2	INV
HG03831_1	INV
HG03831_2	INV
HG03834_1	DIR
HG03834_2	DIR
HG03874_1	DIR
HG03874_2	INV
HG03927_1	INV
HG03927_2	DIR
HG03942_1	INV
HG03942_2	DIR
HG04115_1	INV
HG04115_2	DIR
HG04157_1	INV
HG04157_2	INV
HG04160_1	INV
HG04160_2	INV
HG04184_1	INV
HG04184_2	INV
HG04187_1	DIR
HG04187_2	INV
HG04199_1	DIR
HG04199_2	INV
HG04204_1	INV
HG04204_2	DIR
HG04228_1	DIR
HG04228_2	INV
HG06807_1	DIR
HG06807_2	DIR
NA18505_1	INV
NA18505_2	DIR
NA18508_1	INV
NA18508_2	INV
NA18522_1	DIR
NA18522_2	DIR
NA18565_1	DIR
NA18565_2	INV
NA18570_1	INV
NA18570_2	INV
NA18608_1	INV
NA18608_2	INV
NA18620_1	DIR
NA18620_2	INV
NA18747_1	INV
NA18747_2	INV
NA18879_1	DIR
NA18879_2	INV
NA18906_1	DIR
NA18906_2	DIR
NA18940_1	INV
NA18940_2	INV
NA18943_1	INV
NA18943_2	INV
NA18944_1	DIR
NA18944_2	DIR
NA18945_1	INV
NA18945_2	DIR
NA18948_1	INV
NA18948_2	INV
NA18952_1	DIR
NA18952_2	INV
NA18959_1	INV
NA18959_2	INV
NA18960_1	DIR
NA18960_2	INV
NA18967_1	INV
NA18967_2	DIR
NA18970_1	DIR
NA18970_2	INV
NA18971_1	DIR
NA18971_2	INV
NA18974_1	INV
NA18974_2	INV
NA18976_1	INV
NA18976_2	INV
NA18982_1	DIR
NA18982_2	INV
NA18983_1	INV
NA18983_2	INV
NA19036_1	INV
NA19036_2	DIR
NA19043_1	INV
NA19043_2	DIR
NA19087_1	INV
NA19087_2	INV
NA19159_1	DIR
NA19159_2	INV
NA19185_1	DIR
NA19185_2	INV
NA19240_1	DIR
NA19240_2	DIR
NA19338_1	DIR
NA19338_2	INV
NA19391_1	DIR
NA19391_2	INV
NA19443_1	DIR
NA19443_2	DIR
NA19468_1	DIR
NA19468_2	INV
NA19682_1	INV
NA19682_2	INV
NA19700_1	DIR
NA19700_2	DIR
NA19776_1	DIR
NA19776_2	INV
NA19835_1	INV
NA19835_2	INV
NA19909_1	DIR
NA19909_2	DIR
NA20129_1	DIR
NA20129_2	DIR
NA20282_1	DIR
NA20282_2	INV
NA20346_1	DIR
NA20346_2	DIR
NA20503_1	DIR
NA20503_2	DIR
NA20752_1	DIR
NA20752_2	DIR
NA20762_1	DIR
NA20762_2	DIR
NA20799_1	DIR
NA20799_2	DIR
NA20805_1	DIR
NA20805_2	INV
NA20806_1	DIR
NA20806_2	DIR
NA20809_1	DIR
NA20809_2	INV
NA20827_1	INV
NA20827_2	DIR
NA20850_1	INV
NA20850_2	INV
NA20870_1	INV
NA20870_2	INV
NA20905_1	INV
NA20905_2	DIR
