HG005	EAS_CHS_HG005
NA19087	EAS_JPT_NA19087
NA19099	AFR_YRI_NA19099
NA19120	AFR_YRI_NA19120
NA19131	AFR_YRI_NA19131
NA19159	AFR_YRI_NA19159
NA19175	AFR_YRI_NA19175
NA19185	AFR_YRI_NA19185
NA19190	AFR_YRI_NA19190
NA19240	AFR_YRI_NA19240
NA19315	AFR_LWK_NA19315
NA19338	AFR_LWK_NA19338
NA19377	AFR_LWK_NA19377
NA19390	AFR_LWK_NA19390
NA19391	AFR_LWK_NA19391
NA19443	AFR_LWK_NA19443
NA19468	AFR_LWK_NA19468
NA19682	AMR_MXL_NA19682
NA19700	AFR_ASW_NA19700
NA19703	AFR_ASW_NA19703
NA19776	AMR_MXL_NA19776
NA19834	AFR_ASW_NA19834
NA19835	AFR_ASW_NA19835
NA19909	AFR_ASW_NA19909
NA20129	AFR_ASW_NA20129
NA20282	AFR_ASW_NA20282
NA20287	AFR_ASW_NA20287
NA20300	AFR_ASW_NA20300
NA20346	AFR_ASW_NA20346
NA20503	EUR_TSI_NA20503
NA20752	EUR_TSI_NA20752
NA20762	EUR_TSI_NA20762
NA20799	EUR_TSI_NA20799
NA20805	EUR_TSI_NA20805
NA20806	EUR_TSI_NA20806
NA20809	EUR_TSI_NA20809
NA20818	EUR_TSI_NA20818
NA20827	EUR_TSI_NA20827
NA20850	SAS_GIH_NA20850
NA20858	SAS_GIH_NA20858
NA20870	SAS_GIH_NA20870
NA20905	SAS_GIH_NA20905
NA21093	SAS_GIH_NA21093
NA21101	SAS_GIH_NA21101
NA21102	SAS_GIH_NA21102
NA21106	SAS_GIH_NA21106
NA21110	SAS_GIH_NA21110
NA21144	SAS_GIH_NA21144
